date,staff_gauge,rain_gauge,temp_water,temp_air,sock_esc
2024-06-28,NA,NA,NA,NA,0
2024-06-29,22,NA,18.9,15.4,0
2024-06-30,23,3,16.7,13.1,0
2024-07-01,23,3,17.1,13.4,0
2024-07-02,23,7.5,16,12.5,0
2024-07-03,33,8.5,15.5,12.3,0
2024-07-04,42,5,15,13,0
2024-07-05,44,3,17,12.3,2
2024-07-06,43,1.5,15.5,12.7,0
2024-07-07,43,1.5,15,14.3,0
2024-07-08,44,1.5,17,14.9,0
2024-07-09,40,2.2,18.2,13.6,0
2024-07-10,50,23,17.1,13.1,0
2024-07-11,54,7.5,16.6,13.8,1
2024-07-12,58,18,16.5,13.6,481
2024-07-13,58,11,16.1,17.9,103
2024-07-14,110,121,15.7,14.9,63
2024-07-15,103,49,15.3,16.1,398
2024-07-16,84,15,15,13,396
2024-07-17,79,27,15,13,166
2024-07-18,67,9,14.5,12.5,1
2024-07-19,NA,4.5,17,12.5,106
2024-07-20,54.5,11,17,15,42
2024-07-21,49,0,17,14,5
2024-07-22,45,0,17,13,1
2024-07-23,43,11.5,15,12.5,0
2024-07-24,76,54,14.5,13,40
2024-07-25,66,3,15,13,2
2024-07-26,57,3,15.5,13,23
2024-07-27,53,12,16,13.5,36
2024-07-28,53,2.5,16,12.5,0
2024-07-29,49,0.75,16,13,33
2024-07-30,50,15,15.5,12,11
2024-07-31,58,18,15.5,12,78
2024-08-01,65,20,15,11.5,335
2024-08-02,55,1,17,18.5,86
2024-08-03,48,0,17,17.4,52
2024-08-04,44,0,17.2,20.6,0
2024-08-05,39,0,18.4,20.7,20
2024-08-06,36,0,18.4,13.7,5
2024-08-07,33,0,19.2,17.5,56
2024-08-08,31,0,18.3,15.9,0
2024-08-09,29,0,19.4,16.8,0
2024-08-10,29,10,18.3,14.8,4
2024-08-11,28,1,17.4,14.3,4
2024-08-12,33,17,16.8,15.7,1008
2024-08-13,44,1.75,16,14.2,1361
2024-08-14,43,2,16.7,12.6,799
2024-08-15,39,1,16.9,15,99
2024-08-16,37,0,17,15,300
2024-08-17,35,0,17.2,15.9,132
2024-08-18,33,0,17.4,15,259
2024-08-19,32,4.5,17.5,15,105
2024-08-20,32,6,16.9,12.7,100
2024-08-21,33,2,16.6,15.6,43
2024-08-22,33,1,16.5,12.7,136
2024-08-23,40,16,15.5,13,312
2024-08-24,43,2,16.2,13.2,58
